,Join
519,103445
520,100441
521,95943
522,100446
523,99626
524,93290
525,92216
526,100409
527,93963
528,96852
529,95967
530,91596
531,93961
532,91605
533,92215
534,102212
535,99567
536,91564
537,97731
538,93341
539,97739
540,104023
541,101815
542,100486
543,95664
544,105372
545,93237
546,75703
547,118482
548,93266
549,114177
550,97509
551,98731
552,95655
553,93297
554,104648
555,94954
556,118486
557,104652
558,96753
559,101339
560,118487
561,95691
562,100360
563,102862
564,98623
565,98343
566,99362
567,92417
568,100122
569,93019
570,96922
571,97807
572,91665
573,92172
574,96841
575,100368
576,96858
577,99777
578,94773
579,100140
580,98323
581,104905
582,96526
583,93015
584,97576
585,91302
586,99776
587,104875
588,102807
589,112204
590,112423
591,112424
592,112425
593,112205
594,112426
595,91308
596,112428
597,94772
598,103105
599,93168
600,103072
601,28827
602,99584
603,93249
604,102157
605,91461
606,112434
607,112435
608,112437
609,112438
610,95719
611,103927
612,105515
613,105465
614,102861
615,94886
616,103942
617,97552
618,92671
619,98513
620,92685
621,96768
622,98392
623,96583
624,96570
625,95773
626,94730
627,94798
628,91276
629,98421
630,91290
631,93035
632,103672
633,102012
634,94806
635,101968
636,98420
637,94792
638,98360
639,100159
640,102813
641,115391
642,96613
643,105641
644,98313
645,104748
646,96602
647,103692
648,94791
649,101333
650,100187
651,101977
652,94771
653,104880
654,95912
655,93047
656,95924
657,101991
658,97580
659,93097
660,98402
661,101328
662,103161
663,101117
664,103117
665,93117
666,97977
667,101343
668,103764
669,105029
670,104655
671,111791
672,98469
673,95723
674,99792
675,100244
676,104664
677,96667
678,95724
679,101867
680,96651
681,104744
682,111792
683,93102
684,93101
685,95972
686,96670
687,99387
688,93122
689,102034
690,25126
691,25127
692,91364
693,92157
694,92263
695,93129
696,91359
697,96150
698,98430
699,92156
700,93126
701,96634
702,94856
703,98163
704,98443
705,98451
706,91374
707,95962
708,75721
709,91366
710,75722
711,92441
712,75723
713,92448
714,75724
715,91380
716,95725
717,96180
718,97475
719,98436
720,99680
721,101164
722,97771
723,101188
724,93120
725,98465
726,99622
727,103784
728,104636
729,91394
730,95678
731,93141
732,98485
733,102901
734,97769
735,97828
736,93116
737,98432
738,103777
739,103801
740,91358
741,99774
742,93156
743,96621
744,101162
745,98444
746,93960
747,94877
748,98457
749,93134
750,95974
751,93926
752,92269
753,92332
754,92662
755,97569
756,98458
757,98453
758,94848
759,92175
760,93118
761,96653
762,100227
763,94128
764,100245
765,103087
766,104675
767,103799
768,98023
769,92222
770,97774
771,99891
772,95684
773,92220
774,99363
775,92418
776,96681
777,104683
778,103112
779,96020
780,101158
781,102900
782,102875
783,101319
784,93157
785,92256
786,93155
787,94875
788,95044
789,93371
790,93372
791,92286
792,95975
793,96680
794,94031
795,96679
796,93138
797,93395
798,91387
799,91668
800,91393
801,92214
802,94874
803,92447
804,95054
805,92415
806,93147
807,96675
808,93150
809,94142
810,93407
811,96677
812,95129
813,96898
814,96910
815,98170
816,100240
817,100480
818,91391
819,97821
820,91395
821,100421
822,95730
823,95926
824,92258
825,97636
826,92429
827,92422
828,100256
829,93322
830,101778
831,101799
832,96864
833,98174
834,96375
835,91384
836,94164
837,94592
838,95068
839,98491
840,93390
841,98493
842,91650
843,95065
844,96902
845,97517
846,91645
847,93320
848,99572
849,95964
850,96776
851,91378
852,95965
853,95948
854,93214
855,97799
856,93281
857,95757
858,97486
859,98598
860,96657
861,94162
862,96693
863,99312
864,99337
865,95686
866,100251
867,100275
868,101090
869,102069
870,96685
871,95951
872,96695
873,96010
874,92176
875,92210
876,93232
877,91385
878,96726
879,92499
880,97737
881,96023
882,98492
883,100303
884,102076
885,93943
886,102109
887,99613
888,102122
889,97746
890,98582
891,94137
892,93283
893,93373
894,94174
895,98175
896,98707
897,98717
898,99985
899,101037
900,98239
901,91588
902,94013
903,93358
904,94641
905,91653
906,95118
907,92910
908,94849
909,91388
910,95002
911,98678
912,94024
913,96687
914,98694
915,100247
916,113850
917,113851
918,103263
919,91955
920,96171
921,95423
922,97575
923,97270
924,101181
925,97268
926,75758
927,75759
928,25138
929,25139
930,75760
931,75761
932,75762
933,75763
934,91956
935,94391
936,94227
937,95949
938,92453
939,94899
940,95045
941,93376
942,98505
943,98712
944,95960
945,98507
946,97760
947,98743
948,98659
949,96850
950,92498
951,93179
952,93335
953,93295
954,93359
955,91611
956,95098
957,93248
958,93421
959,94972
960,92206
961,93164
962,96004
963,93201
964,92490
965,91581
966,96836
967,91559
968,93315
969,91610
970,98515
971,98703
972,96906
973,96925
974,95111
975,98757
976,93241
977,93945
978,96953
979,98648
980,99346
981,99564
982,93191
983,92169
984,93955
985,95012
986,95927
987,95025
988,91516
989,92406
990,93170
991,93354
992,93219
993,96787
994,96904
995,95110
996,98519
997,93431
998,101362
999,96837
1000,102304
1001,91530
1002,103958
1003,95024
1004,108453
1005,92444
1006,98620
1007,102275
1008,96716
1009,102217
1010,100351
1011,96443
1012,93429
1013,99978
1014,95670
1015,93994
1016,100482
1017,102186
1018,98679
1019,102236
1020,102249
1021,99049
1022,96912
1023,102292
1024,105468
1025,96915
1026,95102
1027,91649
1028,93414
1029,104087
1030,102340
1031,98759
1032,93304
1033,95009
1034,100403
1035,100438
1036,103992
1037,93329
1038,95060
1039,96343
1040,94532
1041,91561
1042,93316
1043,96876
1044,98697
1045,91629
1046,101735
1047,92839
1048,96927
1049,96929
1050,92682
1051,93423
1052,95131
1053,96938
1054,95137
1055,102337
1056,96955
1057,103295
1058,101590
1059,95138
1060,96954
1061,103946
1062,102224
1063,104084
1064,99927
1065,93306
1066,93307
1067,91550
1068,93310
1069,8980
1070,92481
1071,91597
1072,95051
1073,100436
1074,101754
1075,93378
1076,93379
1077,100266
1078,92829
1079,92708
1080,91562
1081,95014
1082,24240
1083,24241
1084,24242
1085,24243
1086,91565
1087,96139
1088,95132
1089,96830
1090,98526
1091,96844
1092,91570
1093,98680
1094,98749
1095,102225
1096,93346
1097,102277
1098,95063
1099,93338
1100,103999
1101,93366
1102,100455
1103,98728
1104,95103
1105,96943
1106,100502
1107,98099
1108,102270
1109,96886
1110,103831
1111,104351
1112,93296
1113,98638
1114,98654
1115,95013
1116,93676
1117,96868
1118,101706
1119,95071
1120,93362
1121,96895
1122,100473
1123,98720
1124,102325
1125,91654
1126,102211
1127,91524
1128,91569
1129,91994
1130,91563
1131,92274
1132,93317
1133,93751
1134,91606
1135,91995
1136,93356
1137,94483
1138,94023
1139,95092
1140,96935
1141,98085
1142,98700
1143,99063
1144,93311
1145,100394
1146,91637
1147,100489
1148,100860
1149,98631
1150,101719
1151,103962
1152,91862
1153,103974
1154,105247
1155,113864
1156,113865
1157,113874
1158,103277
1159,104036
1160,93380
1161,98715
1162,93404
1163,91644
1164,104058
1165,98752
1166,100504
1167,96947
1168,112181
1169,103964
1170,96840
1171,98539
1172,113879
1173,95028
1174,95030
1175,93231
1176,95662
1177,96786
1178,105325
1179,93280
1180,108463
1181,108464
1182,98563
1183,102166
1184,108465
1185,93247
1186,98572
1187,96794
1188,96807
1189,103932
1190,98713
1191,102298
1192,98735
1193,98732
1194,100503
1195,96944
1196,93298
1197,102231
1198,100463
1199,113881
1200,98705
1201,91619
1202,93391
1203,113882
1204,103993
1205,102261
1206,96741
1207,91464
1208,103873
1209,103875
1210,94967
1211,96793
1212,96908
1213,91639
1214,98736
1215,91656
1216,91657
1217,93291
1218,95005
1219,102229
1220,93301
1221,91544
1222,98667
1223,98670
1224,95016
1225,95019
1226,102144
1227,96729
1228,98550
1229,96740
1230,93238
1231,98564
1232,94933
1233,96752
1234,96777
1235,100352
1236,100370
1237,91501
1238,113893
1239,95093
1240,113898
1241,98739
1242,113899
1243,96820
1244,102247
1245,91573
1246,100318
1247,102145
1248,94978
1249,94979
1250,93387
1251,93389
1252,98556
1253,103924
1254,103934
1255,100379
1256,100485
1257,95116
1258,102215
1259,96818
1260,102244
1261,98656
1262,93215
1263,98540
1264,98565
1265,100314
1266,100320
1267,94935
1268,94934
1269,103904
1270,103905
1271,100371
1272,96800
1273,100278
1274,103830
1275,103836
1276,98530
1277,91449
1278,98496
1279,98518
1280,98517
1281,103826
1282,100273
1283,98504
1284,102138
1285,96755
1286,108473
1287,102175
1288,108474
1289,91503
1290,108475
1291,108476
1292,100114
1293,103665
1294,91431
1295,93187
1296,96589
1297,93839
1298,96706
1299,98314
1300,98546
1301,100327
1302,98600
1303,100339
1304,103921
1305,102595
1306,103828
1307,106663
1308,112532
1309,103865
1310,104609
1311,98501
1312,103825
1313,102096
1314,98497
1315,98510
1316,91426
1317,102117
1318,98531
1319,103857
1320,100301
1321,24305
1322,96742
1323,24306
1324,94927
1325,91482
1326,96797
1327,93268
1328,100298
1329,103867
1330,102205
1331,100393
1332,93284
1333,102201
1334,94889
1335,94903
1336,96814
1337,93178
1338,100286
1339,102094
1340,93162
1341,100307
1342,94901
1343,96733
1344,93217
1345,96758
1346,103882
1347,93254
1348,103906
1349,98624
1350,98625
1351,103959
1352,102093
1353,91458
1354,103863
1355,102147
1356,102137
1357,100814
1358,91934
1359,98509
1360,93204
1361,94902
1362,192578
1363,95412
1364,192580
1365,113902
1366,95404
1367,103876
1368,91933
1369,100364
1370,102199
1371,93182
1372,96440
1373,93206
1374,94311
1375,94148
1376,91472
1377,101417
1378,94949
1379,9024
1380,21491
1381,6298
1382,92482
1383,93251
1384,96789
1385,96801
1386,97725
1387,95749
1388,96708
1389,97754
1390,94915
1391,101344
1392,93213
1393,93958
1394,93229
1395,103807
1396,104667
1397,118013
1398,103107
1399,91475
1400,94158
1401,94944
1402,99349
1403,94930
1404,96398
1405,95333
1406,99997
1407,99021
1408,102267
1409,97980
1410,118014
1411,103588
1412,91412
1413,103231
1414,98633
1415,92454
1416,101883
1417,104066
1418,97584
1419,96792
1420,97812
1421,94953
1422,103147
1423,93270
1424,105862
1425,102204
1426,101326
1427,102120
1428,97589
1429,104269
1430,95784
1431,97146
1432,96015
1433,99014
1434,101092
1435,100283
1436,101095
1437,94898
1438,92419
1439,91863
1440,102287
1441,93658
1442,101329
1443,93643
1444,95026
1445,103969
1446,104006
1447,104451
1448,93432
1449,95004
1450,105859
1451,103196
1452,99670
1453,92553
1454,96090
1455,95738
1456,95646
1457,99682
1458,103553
1459,102821
1460,92592
1461,102251
1462,101340
1463,97856
1464,94365
1465,101434
1466,97860
1467,100703
1468,100706
1469,103003
1470,96149
1471,93758
1472,105863
1473,105815
1474,92925
1475,92514
1476,100754
1477,118025
1478,105148
1479,95458
1480,92561
1481,91783
1482,101527
1483,103249
1484,98958
1485,92595
1486,101436
1487,95318
1488,91655
1489,103004
1490,96782
1491,91509
1492,96111
1493,98753
1494,92588
1495,91552
1496,100731
1497,92205
1498,93240
1499,95125
1500,96939
1501,98537
1502,93267
1503,98151
1504,96934
1505,94565
1506,94228
1507,92435
1508,96931
1509,92705
1510,92436
1511,92449
1512,95020
1513,94923
1514,93601
1515,95021
1516,91804
1517,98570
1518,93615
1519,96948
1520,100640
1521,91553
1522,99559
1523,101205
1524,91480
1525,97176
1526,93272
1527,93607
1528,91854
1529,93953
1530,97141
1531,97809
1532,97506
1533,99107
1534,99549
1535,97435
1536,102620
1537,93716
1538,102832
1539,93715
1540,98094
1541,101419
1542,105165
1543,105864
1544,99111
1545,108484
1546,108486
1547,100362
1548,108490
1549,108494
1550,108495
1551,108496
1552,108497
1553,102896
1554,106670
1555,92525
1556,118041
1557,118042
1558,105523
1559,105522
1560,96200
1561,96122
1562,101318
1563,118043
1564,118045
1565,100287
1566,92785
1567,94909
1568,103856
1569,80090
1570,93171
1571,80091
1572,80092
1573,94642
1574,96339
1575,96712
1576,97205
1577,97513
1578,99593
1579,91467
1580,96439
1581,94947
1582,95660
1583,98605
1584,99059
1585,91842
1586,98499
1587,99032
1588,94224
1589,99050
1590,92502
1591,93673
1592,100676
1593,80094
1594,96724
1595,80095
1596,97091
1597,91448
1598,97806
1599,94928
1600,98929
1601,98636
1602,101351
1603,101413
1604,98527
1605,94912
1606,102511
1607,103842
1608,103864
1609,101891
1610,100355
1611,103971
1612,100037
1613,91502
1614,103829
1615,99825
1616,97314
1617,92780
1618,105937
1619,102136
1620,103368
1621,102155
1622,102269
1623,96314
1624,96738
1625,102847
1626,91522
1627,94070
1628,94910
1629,96756
1630,98109
1631,94941
1632,99343
1633,94971
1634,99788
1635,102184
1636,103816
1637,103817
1638,103839
1639,103451
1640,103449
1641,91806
1642,103472
1643,91487
1644,94957
1645,97726
1646,103891
1647,105277
1648,128217
1649,25182
1650,25183
1651,100631
1652,102196
1653,95325
1654,91423
1655,92501
1656,93211
1657,95338
1658,102831
1659,103158
1660,176281
1661,92755
1662,98522
1663,118052
1664,118053
1665,95626
1666,118054
1667,118055
1668,118056
1669,118057
1670,105276
1671,92599
1672,97829
1673,94525
1674,95748
1675,105534
1676,96773
1677,91484
1678,105532
1679,91495
1680,94989
1681,105529
1682,91411
1683,98020
1684,99838
1685,93185
1686,99862
1687,91476
1688,103378
1689,91483
1690,99624
1691,103820
1692,103884
1693,103901
1694,94940
1695,93234
1696,102177
1697,105761
1698,94450
1699,94449
1700,97759
1701,97454
1702,94366
1703,98012
1704,93904
1705,99590
1706,92690
1707,96202
1708,92911
1709,92689
1710,99805
1711,99832
1712,101623
1713,98011
1714,104962
1715,101824
1716,105171
1717,105179
1718,96781
1719,97969
1720,91727
1721,98018
1722,98619
1723,99285
1724,101019
1725,93165
1726,101674
1727,92746
1728,21763
1729,21761
1730,21757
1731,91407
1732,91419
1733,91445
1734,96747
1735,100357
1736,91504
1737,24415
1738,24416
1739,24417
1740,24418
1741,102078
1742,102111
1743,102176
1744,96444
1745,105483
1746,114633
1747,98622
1748,94991
1749,92266
1750,95659
1751,118472
1752,103462
1753,155563
1754,155576
1755,102108
1756,92812
1757,92748
1758,100372
1759,101174
1760,95465
1761,96705
1762,101506
1763,104470
1764,93208
1765,102515
1766,100016
1767,102921
1768,96131
1769,96172
1770,97459
1771,98184
1772,99630
1773,104615
1774,101010
1775,108530
1776,99830
1777,97768
1778,102648
1779,103429
1780,104471
1781,96151
1782,91997
1783,108531
1784,97305
1785,15341
1786,15340
1787,17878
1788,17877
1789,12791
1790,101678
1791,99140
1792,118475
1793,99864
1794,118060
1795,118061
1796,105230
1797,92747
1798,94471
1799,105500
1800,94523
1801,95620
1802,103278
1803,98032
1804,118062
1805,118064
1806,103411
1807,94323
1808,98019
1809,108069
1810,118476
1811,184893
1812,94448
1813,99551
1814,91474
1815,98609
1816,91494
1817,102837
1818,100385
1819,92423
1820,100328
1821,97740
1822,99802
1823,103146
1824,91498
1825,95930
1826,94883
1827,103589
1828,94897
1829,7565
1830,12689
1831,94914
1832,97587
1833,97813
1834,96690
1835,92497
1836,94890
1837,96338
1838,97204
1839,96033
1840,94937
1841,97823
1842,114141
1843,99794
1844,97282
1845,92876
1846,99112
1847,114142
1848,115605
1849,98071
1850,112443
1851,112444
1852,63368
1853,94130
1854,40174
1855,63456
1856,51721
1857,67085
1858,50600
1859,50601
1860,66072
1861,66073
1862,50706
1863,62412
1864,93177
1865,94161
1866,93271
1867,94138
1868,42888
1869,46701
1870,40464
1871,55871
1872,39021
1873,39022
1874,39110
1875,50703
1876,58475
1877,46832
1878,46711
1879,18015
1880,12904
1881,50732
1882,62327
1883,55868
1884,54505
1885,62439
1886,54449
1887,43023
1888,43022
1889,46671
1890,62309
1891,54478
1892,58393
1893,43009
1894,50724
1895,65968
1896,50574
1897,65953
1898,62299
1899,46689
1900,46726
1901,95771
1902,43010
1903,95955
1904,97585
1905,95781
1906,50563
1907,99594
1908,100683
1909,102516
1910,99002
1911,92284
1912,102553
1913,95945
1914,103160
1915,97816
1916,91841
1917,92784
1918,94516
1919,91855
1920,95360
1921,95769
1922,98095
1923,101345
1924,101423
1925,97818
1926,93653
1927,97724
1928,97191
1929,97735
1930,104297
1931,96005
1932,95274
1933,95941
1934,66097
1935,97804
1936,55799
1937,95938
1938,97180
1939,97202
1940,55867
1941,52078
1942,93959
1943,95674
1944,97109
1945,94208
1946,97087
1947,102465
1948,93605
1949,103092
1950,62423
1951,92434
1952,58395
1953,94172
1954,62348
1955,46692
1956,75846
1957,67430
1958,67431
1959,59741
1960,59740
1961,55808
1962,75847
1963,75848
1964,75849
1965,93947
1966,46828
1967,62290
1968,46668
1969,52041
1970,40418
1971,67336
1972,67335
1973,55835
1974,91787
1975,67434
1976,94206
1977,94230
1978,94446
1979,95302
1980,91828
1981,92413
1982,93511
1983,67350
1984,94175
1985,95910
1986,91768
1987,92421
1988,93496
1989,97044
1990,95229
1991,97776
1992,99573
1993,100612
1994,102453
1995,97775
1996,91683
1997,103118
1998,25202
1999,94147
2000,96993
2001,92431
2002,103119
2003,48036
2004,93562
2005,99426
2006,98769
2007,101332
2008,102363
2009,104195
2010,97001
2011,101421
2012,100562
2013,99583
2014,97029
2015,97751
2016,100591
2017,94155
2018,50566
2019,105326
2020,95198
2021,109277
2022,24467
2023,24468
2024,24469
2025,24470
2026,91770
2027,97752
2028,101403
2029,92479
2030,104166
2031,97814
2032,100581
2033,113706
2034,98819
2035,98853
2036,103490
2037,105303
2038,98017
2039,94222
2040,98867
2041,94135
2042,93550
2043,95770
2044,93437
2045,92285
2046,102352
2047,97635
2048,113707
2049,92801
2050,98132
2051,96316
2052,96976
2053,75871
2054,75873
2055,91734
2056,75874
2057,96313
2058,75876
2059,93559
2060,92504
2061,24479
2062,24480
2063,24481
2064,24482
2065,91687
2066,97003
2067,97025
2068,99358
2069,101886
2070,104169
2071,98249
2072,25204
2073,98250
2074,95745
2075,104589
2076,92738
2077,100786
2078,103126
2079,95737
2080,96310
2081,91916
2082,92688
2083,93681
2084,103351
2085,100791
2086,97991
2087,104354
2088,96220
2089,91917
2090,114155
2091,114156
2092,105739
2093,114157
2094,109281
2095,96272
2096,94497
2097,94205
2098,114158
2099,93531
2100,95778
2101,95779
2102,93454
2103,101341
2104,114159
2105,104436
2106,94016
2107,104435
2108,114160
2109,114161
2110,101876
2111,102636
2112,106017
2113,113456
2114,96026
2115,97148
2116,97770
2117,92700
2118,94637
2119,91968
2120,96223
2121,92699
2122,103563
2123,106023
2124,95676
2125,102637
2126,106013
2127,113457
2128,114163
2129,114164
2130,106011
2131,94169
2132,114165
2133,94220
2134,113910
2135,106009
2136,95271
2137,103151
2138,97089
2139,94221
2140,104251
2141,106003
2142,93608
2143,24500
2144,24501
2145,24502
2146,24503
2147,92557
2148,97761
2149,99629
2150,100712
2151,100768
2152,102836
2153,103106
2154,96103
2155,106001
2156,114169
2157,103005
2158,91967
2159,114170
2160,114171
2161,24506
2162,46366
2163,24508
2164,62004
2165,46365
2166,65708
2167,99336
2168,102477
2169,104653
2170,94156
2171,101356
2172,97105
2173,105998
2174,104865
2175,95830
2176,104437
2177,118079
2178,99694
2179,118080
2180,103108
2181,100714
2182,118081
2183,104288
2184,103556
2185,99009
2186,97173
2187,113916
2188,104332
2189,113917
2190,91905
2191,118087
2192,104215
2193,118088
2194,104233
2195,101425
2196,118082
2197,91864
2198,96021
2199,103540
2200,113920
2201,113921
2202,118083
2203,118084
2204,118085
2205,118089
2206,102559
2207,103150
2208,95287
2209,92438
2210,93738
2211,95739
2212,93749
2213,96191
2214,95300
2215,103539
2216,93623
2217,97590
2218,100776
2219,100645
2220,98955
2221,95188
2222,95923
2223,69446
2224,61908
2225,61907
2226,65618
2227,97073
2228,97181
2229,97092
2230,97766
2231,98977
2232,101422
2233,103154
2234,101532
2235,97298
2236,94021
2237,91973
2238,101608
2239,96068
2240,92626
2241,104444
2242,103336
2243,104443
2244,95747
2245,99131
2246,105377
2247,105294
2248,92816
2249,97559
2250,94212
2251,104113
2252,94171
2253,107344
2254,113927
2255,91743
2256,103109
2257,92442
2258,102850
2259,113930
2260,97762
2261,100619
2262,103096
2263,98841
2264,103082
2265,102420
2266,104870
2267,105370
2268,103078
2269,98909
2270,113931
2271,113932
2272,99310
2273,112459
2274,99541
2275,104632
2276,91699
2277,112460
2278,112461
2279,97728
2280,92493
2281,93484
2282,96251
2283,99866
2284,101091
2285,91779
2286,98056
2287,93557
2288,101679
2289,101680
2290,103159
2291,98155
2292,99578
2293,114172
2294,118103
2295,118104
2296,113940
2297,100367
2298,104097
2299,104937
2300,93558
2301,97741
2302,104121
2303,102845
2304,98811
2305,92207
2306,95193
2307,99545
2308,105367
2309,97718
2310,114175
2311,92452
2312,61750
2313,92503
2314,93549
2315,103075
2316,102445
2317,99641
2318,91771
2319,101361
2320,29052
2321,29054
2322,29055
2323,29057
2324,94134
2325,97819
2326,99587
2327,95776
2328,104126
2329,101204
2330,114179
2331,118116
2332,102441
2333,57778
2334,24540
2335,24541
2336,24542
2337,24543
2338,91694
2339,91723
2340,92492
2341,94139
2342,95673
2343,92212
2344,97988
2345,92171
2346,93445
2347,95920
2348,98818
2349,94213
2350,98864
2351,96018
2352,98770
2353,94216
2354,98785
2355,99800
2356,94207
2357,98812
2358,101323
2359,92686
2360,93509
2361,95181
2362,101352
2363,98870
2364,97586
2365,98865
2366,103111
2367,104749
2368,98883
2369,103142
2370,97515
2371,93453
2372,94214
2373,95677
2374,91706
2375,99558
2376,102848
2377,98832
2378,101086
2379,101099
2380,102401
2381,103010
2382,93950
2383,93525
2384,97514
2385,102407
2386,99340
2387,95245
2388,102829
2389,97069
2390,104895
2391,95155
2392,96028
2393,102312
2394,95909
2395,95187
2396,80127
2397,101312
2398,101431
2399,95922
2400,104797
2401,104098
2402,97729
2403,104132
2404,97518
2405,97015
2406,113959
2407,93466
2408,103069
2409,104521
2410,99596
2411,95545
2412,99639
2413,113944
2414,99580
2415,93894
2416,113955
2417,95163
2418,113956
2419,102367
2420,94217
2421,15406
2422,97811
2423,97423
2424,94167
2425,97063
2426,65617
2427,91674
2428,94168
2429,93469
2430,97764
2431,97377
2432,92511
2433,95628
2434,93542
2435,94170
2436,99341
2437,100627
2438,102194
2439,97779
2440,91690
2441,103083
2442,104633
2443,93483
2444,95656
2445,95544
2446,100497
2447,101404
2448,101331
2449,104939
2450,97401
2451,94136
2452,104879
2453,95536
2454,101330
2455,100990
2456,104950
2457,95940
2458,95568
2459,100398
2460,104893
2461,94166
2462,93475
2463,101369
2464,104432
2465,104938
2466,101789
2467,101085
2468,104538
2469,93948
2470,95562
2471,114191
2472,118182
2473,118184
2474,114192
2475,118189
2476,118190
2477,113988
2478,113989
2479,118191
2480,93956
2481,93494
2482,92209
2483,97521
2484,95222
2485,101788
2486,113997
2487,113998
2488,104918
2489,118195
2490,118196
2491,102619
2492,94143
2493,95671
2494,102417
2495,102702
2496,101349
2497,93551
